name,address,tel,kind,enabletime,email
基隆仁義店,基隆市信義區仁一路27號1樓,02-66375181,ok,24hr,
基隆安樂店,基隆市安樂區安樂路二段122號,02-66375109,ok,24hr,
基隆深溪店,基隆市中正區新豐街389號1樓,02-66375892,ok,24hr,
基隆新三益店,基隆市中正區中船路18號1樓,02-66376715,ok,24hr,
基隆文昌店,基隆市仁愛區孝三路54.56號,02-66375159,ok,24hr,
基隆樂一店,基隆市安樂區樂一路26號,02-66375167,ok,24hr,
基隆英仁店,基隆市仁愛區南榮路387號,02-66375160,ok,24hr,
基隆泰安店,基隆市七堵區泰安路23-12號,02-66377278,ok,24hr,
基隆成功店,基隆市仁愛區成功一路43.45號,02-66375136,ok,24hr,
基隆華三店,基隆市仁愛區華三街20號,02-66375127,ok,24hr,
基隆華城店,基隆市暖暖區碇內街210、212號,02-66378215,ok,24hr,
基隆興寮店,基隆市安樂區基金一路112巷110弄15之10號,02-66377344,ok,24hr,
基隆中和店,基隆市中山區中和路166-6號,02-66375149,ok,24hr,
基隆東新店,基隆市七堵區東新街67、69號,02-66377334,ok,24hr,
基隆安一店,基隆市安樂區安一路228號,02-66375150,ok,24hr,
基隆孝德店,基隆市信義區深澳坑路1之56號1樓,02-66375578,ok,24hr,
基隆長安店,基隆市七堵區明德三路45號1樓,02-66375162,ok,24hr,
基隆定國店,基隆市中山區西定路110巷36號,02-66375117,ok,24hr,
基隆延平店,基隆市仁愛區仁二路75號,02-66375171,ok,24hr,
基隆光華店,基隆市仁愛區成功一路133巷42-1號,02-66375115,ok,24hr,
基隆信五店,基隆市中正區義二路174號1樓,02-66375183,ok,24hr,
基隆源遠店,基隆市暖暖區源遠路299號,02-66375139,ok,24hr,
七堵永平店,基隆市七堵區自治北街12、14號,02-66375962,ok,24hr,
八堵八中店,基隆市暖暖區八堵路82號,02-66375163,ok,24hr,
基隆百三店,基隆市七堵區百三街81號,02-66375125,ok,24hr,
基隆居仁店,基隆市中山區中華路93號1樓,02-66375176,ok,24hr,
基隆愛一店,基隆市仁愛區愛一路26號1樓,02-66375188,ok,24hr,
基隆樂利店,基隆市安樂區樂利三街68號,02-66375113,ok,24hr,
基隆暖碇店,基隆市暖暖區源遠路190號1樓,02-66375576,ok,24hr,
基隆建心店,基隆市中正區祥豐街95-1.95-2號,02-66375158,ok,24hr,
基隆新城店,基隆市安樂區樂利三街130號,02-66375107,ok,24hr,
基隆暖暖店,基隆市暖暖區暖暖街118號,02-66375153,ok,24hr,
基隆愛九店,基隆市仁愛區愛九路10號1樓,02-66375178,ok,24hr,
基隆新基金店,基隆市安樂區基金一路200號,02-66375903,ok,24hr,
基隆三坑店,基隆市仁愛區龍安街200之1號1樓,02-66375179,ok,24hr,
基隆海洋店,基隆市中正區新豐街420.422號1樓,02-66375119,ok,24hr,
基隆文化店,基隆市中山區文化路132號,02-66375155,ok,24hr,
基隆武德店,基隆市安樂區基金一路208巷110號,02-66375146,ok,24hr,
基隆南新店,基隆市仁愛區南新街60號,02-66375129,ok,24hr,
七堵南興店,基隆市七堵區南興路82號,02-66375161,ok,24hr,
基隆慶城店,基隆市中山區中和路168巷9弄21號1樓,02-66375187,ok,24hr,
基隆東信店,基隆市信義區東信路290號,02-66375118,ok,24hr,
基隆崇右門市,基隆市信義區義七路40號(格致樓一樓),02-66377250,ok,24hr,
七堵百福店,基隆市七堵區實踐路284號1樓,02-66375906,ok,24hr,
基隆祥豐店,基隆市中正區祥豐街321號,02-66375122,ok,24hr,
基隆崇德店,基隆市安樂區永康里崇德路8之5號,02-66375172,ok,24hr,
基隆德和店,基隆市中山區復興路212巷5弄4號1樓,02-66377329,ok,24hr,
基隆過港店,基隆市暖暖區過港路32號,02-66375143,ok,24hr,
基隆東安店,基隆市信義區東信路3巷1號,02-66375132,ok,24hr,
基隆署醫門市,基隆市信義區信二路268號,02-66375190,ok,24hr,
五堵北基店,基隆市七堵區明德三路102號1樓,02-66375185,ok,24hr,
基隆銘傳店,基隆市仁愛區劉銘傳路15號,02-66375148,ok,24hr,
基隆麥金店,基隆市安樂區麥金路197號1樓,02-66375180,ok,24hr,
基隆聖心店,基隆市中山區西定路254號,02-66375123,ok,24hr,
基隆孝四店,基隆市仁愛區孝四路11號,02-66375112,ok,24hr,
基隆中山店,基隆市中山區中山二路65巷1號,02-66375147,ok,24hr,
基隆獅球店,基隆市仁愛區獅球路41號1樓,02-66375182,ok,24hr,
基隆和一店,基隆市中正區和一路86.88號,02-66375133,ok,24hr,
基隆信六店,基隆市中正區義二路191號1樓,02-66375138,ok,24hr,
基隆信義店,基隆市信義區信二路28號,02-66375165,ok,24hr,
基隆新富店,基隆市中正區新豐街251巷7弄35.37號,02-66375130,ok,24hr,
基隆富民店,基隆市七堵區明德一路104號1樓及地下室1樓,02-66376296,ok,24hr,
